title,url,company,description,city,requirements,experience
Senior Python Developer in Hosting Services Team,https://jobs.dou.ua/companies/zone3000/vacancies/271084/,ZONE3000,"Your expertise: At least 4 years of professional experienceFrameworks: Proficiency in Django, Flask, FastAPIPython ORMs: Hands-on with SQLAlchemy, Django ORM, PonyORM, or SQLObjectDeep understanding of Python’s asynchronous programming featuresHands-on experience with AWS services (e.g., S3, Lambda, RDS, Forgate, CloudWatch, etc.)Proficiency in designing, developing, and deploying mid / large-scale applicationsUnderstanding of clustering, sharding and scaling techniques and principles Experience with containerized applications Docker / KubernetesExperience in the testing frameworks (Pytest, Unittest, etc.)Strong understanding of automated CI / CD principlesExperience with OS Linux / Unix and understanding of network protocols (DNS, SMTP, TCP/IP, HTTP, TLS / SSL)Strong understanding of relational database engines MySQL and PSQLExperience in event driven programming, familiarity with one of the queue brokers (Kafka, RabbitMQ, ZeroMQ, SNS+SQS, etc.)Personal skills:Motivated for personal developmentProactiveGood communication skillsTeam playerWill definitely be a plus: Leadership or mentorship experienceHands-on experience with Golang or any other compiled languageExperience with Web-Hosting control panels (cPanel, Plesk, ISPConfig)Skills in developing SPA applications using Node.js and HTML5Production experience with MongoDB, Elasticsearch, ClickHouse, InfluxDB, RedisHigh loadContributing to public open source projectsUnderstanding of the machine learning principlesWhat’s in it for you?Opportunity to deal with top-notch technologies and approaches in a world-leader product company with millions of customersOpportunity to make a difference for online privacy, freedom of speech, and net neutralityDecent market rate compensation depending on experience and skillsDeveloped corporate culture: no micromanagement, culture based on principles of truth, trust, and transparency“You build it, you own it” mentality in most contextsSupport of personal and professional developmentcoverage of costs of external trainings, conferences, professional literaturesupport of experienced colleaguesin-house events and trainingsregular knowledge sharing in teamsEnglish classes and speaking clubsLife-balance supporttruly flexible schedule, no time-tracking at all25 working days of vacation5 days of paid sick leave per month (if necessary) without providing a medical certificategenerous maternity leave programProfessionally strong environment, friendly and open atmosphere, ability to influence the product development and recognition for itYou will be involved into: Development and support of the Hosting microservicesDevelopment and support internal SDKAutomation of processes Design and Develop of the new features for internal and external clientsStream a Service ownershipCode reviewBe an active part of a team for Hosting product developmentAbout the company and project:ZONE3000 is proud to represent its partnership with Namecheap (www.namecheap.com). Namecheap was founded in 2000 on the idea that all people deserve value-priced domains delivered through stellar service. Today Namecheap is a leading ICANN-accredited domain name registrar and web hosting company with over 13 million customers and 17 million domains under management — and we’re just getting started.Our culture is built on the values that we live every day: the way we work, the way we collaborate with our global network of colleagues and the way we relentlessly innovate solutions that meet the emerging needs of our customers.As a forward-thinking tech enterprise, we specialize in crafting cutting-edge solutions in the realm of hosting and cloud services. Guided by established frameworks and modern architectural approaches, we consistently challenge the limits of technological potential. We’re excited to grow our skilled engineering team further.We are the Hosting Services Team, and at the moment we are in the middle of creating new infrastructure for Shared Hosting as part of a huge company idea to rebuild.We need a teammate to share our passion to build and improve hosting product, make it secure, manageable, and smart and easy for consuming.What We’re Looking For:We are in search of an experienced Python Software Engineer who thrives in a dynamic, fast-paced environment. You’ll be working on cutting-edge hosting microservices, automating workflows, and creating robust internal SDKs. If you live and breathe Python, have a knack for AWS services, and are fascinated by the intricacies of system architecture, you’re the one we’re looking for!",віддалено,"Python, SQL, HTML, Django, Flask, FastAPI, MySQL, MongoDB, Redis, Elasticsearch, Docker, Kubernetes, AWS, pytest, unittest, RabbitMQ, ZeroMQ",3-5
Senior Python Developer in Virtual Services Team,https://jobs.dou.ua/companies/zone3000/vacancies/271137/,ZONE3000,"Your expertise: At least 4 years of professional experienceFrameworks: Proficiency in Django, Flask, FastAPIPython ORMs: Hands-on with SQLAlchemy, Django ORM, PonyORM, or SQLObjectDeep understanding of Python’s asynchronous programming featuresHands-on experience with AWS services (e.g., S3, Lambda, RDS, Forgate, Cloudwatch, etc.)Proficiency in designing, developing, and deploying mid / large-scale applications.Understanding of clustering, sharding and scaling techniques and principles. Experience with containerized applications Docker / Kubernetes.Experience in the testing frameworks (Pytest, Unittest, etc.)Strong understanding of automated CI / CD principlesExperience with OS Linux / Unix and understanding of network protocols (DNS, SMTP, TCP / IP, HTTP, TLS / SSL)Strong understanding of relational database engines MySQL and PSQLExpiriеnce in event driven programming, familiarity with one of queue brokers (Kafka, RabbitMQ, ZeroMQ, SNS+SQS, etc.)Personal skillsMotivated for personal developmentProactiveGood communication skillsTeam playerWill definitely be a plus: Proficiency in Software Architecture Principles (DDD, Hex or Clean Architecture)Copilot/GPT, other AI helper tools usageFamiliarity with OpenStack community / services / codebaseHands-on experience with Golang or any other compiled languageSkills in developing SPA applications using Node.js and HTML5Production experience with MongoDB, Elasticsearch, ClickHouse, InfluxDB, RedisHigh loadContributing to public open source projectsWhat’s in it for you?Opportunity to deal with top-notch technologies and approaches in a world-leader product company with millions of customersOpportunity to make a difference for online privacy, freedom of speech, and net neutralityDecent market rate compensation depending on experience and skillsDeveloped corporate culture: no micromanagement, culture based on principles of truth, trust, and transparency“You build it, you own it” mentality in most contextsSupport of personal and professional developmentcoverage of costs of external trainings, conferences, professional literaturesupport of experienced colleaguesin-house events and trainingsregular knowledge sharing in teamsEnglish classes and speaking clubsLife-balance supporttruly flexible schedule, no time-tracking at all25 working days of vacation5 days of paid sick leave per month (if necessary) without providing a medical certificategenerous maternity leave programProfessionally strong environment, friendly and open atmosphere, ability to influence the product development and recognition for itYou will be involved into: Development and support of the Hosting microservicesDevelopment and support internal SDKAutomation of processes Design and Develop of the new features for internal and external clientsStream a Service ownershipCode reviewBe an active part of a team for Hosting product developmentAbout the company and project:ZONE3000 is proud to represent its partnership with Namecheap (www.namecheap.com). Namecheap was founded in 2000 on the idea that all people deserve value-priced domains delivered through stellar service. Today Namecheap is a leading ICANN-accredited domain name registrar and web hosting company with over 13 million customers and 17 million domains under management — and we’re just getting started.Our culture is built on the values that we live every day: the way we work, the way we collaborate with our global network of colleagues and the way we relentlessly innovate solutions that meet the emerging needs of our customers.We are the Hosting team, and at the moment we are in the middle of creating new VPS Hosting product as part of a huge company idea to rebuild. Our robust, scalable, and user-friendly VPS Hosting product based on OpenStack is the first step on an ambitious journey to build fully-functional IaaS solution for our customers. As a Python Engineer in our dynamic team, you’ll play a pivotal role in developing and enhancing the core functionalities of our cloud infrastructure.What We’re Looking For:We are in search of an experienced Python Software Engineer who thrives in a dynamic, fast-paced environment. You’ll be working on cutting-edge hosting microservices, automating workflows, and creating robust internal SDKs. If you live and breathe Python, have a knack for AWS services, and are fascinated by the intricacies of system architecture, you’re the one we’re looking for!",віддалено,"Python, SQL, HTML, Django, Flask, FastAPI, MySQL, MongoDB, Redis, Elasticsearch, Docker, Kubernetes, AWS, pytest, unittest, RabbitMQ, ZeroMQ",3-5
Middle Strong/Senior Full Stack Engineer (Python + Vue.js),https://jobs.dou.ua/companies/binariks/vacancies/273954/,Binariks,"Binariks is looking for a highly motivated and skilled Middle Strong/Senior Full Stack Engineer (Python + Vue.js) to join our team.About: Our client provides digital care management software designed to simplify the management of care services. The platform allows for real-time recording, planning, and coordination of care, secure and accurate note-taking for better decision-making, personalization of care plans, and effective collaboration among care teams. They aim to improve outcomes by offering a comprehensive solution for better care delivery, aligning technology to meet the unique needs of care services, and enhancing productivity and care quality.What We’re Looking For:3+ years of proven experience with Python2+ years of proven experience with Vue.jsUnderstanding of AWS services, specifically AWS Lambda functions, with proficiency in Python for writing and deploying Lambda functionsExperience with AWS Serverless architectureExperience with PostgreSQL/DynamoDB databasesFamiliarity with software development methodologies and architectural patternsExcellent problem-solving and communication skillsAbility to work independentlyAt least an Upper-Intermediate level of English for daily communicationYour responsibilities:Delivery of quality software solutions using an Agile development cycleSetting up and maintaining a continuous integration (CI) pipeline via SemaphoreDesigning, coding, testing, and debugging technical solutionsPredict customer issues and prioritize them, implementing fixes in future releasesAnalyzing requirements and client requests and building documentation based on the collected informationWorking with new technologies and best practicesParticipating in decision-making and tight communication with stakeholders on the client’s sideWill be a plus:Experience with Heroku for deploying, managing, and scaling applications in staging and testing environmentsFamiliarity with Semaphore or similar CI/CD tools for automating testing and deployment processesExperience in the Healthcare IndustryWe provide the following for our employees:18 working days of paid vacation10 working days of sick leave annually (5 days paid at 100% and 5 days at 75% rate of your average monthly salary)50% cost compensation for English coursesFlexible work scheduleAdditional days off for special occasions, national holidays offA competitive and rewarding salary based on performance appraisals/knowledge evaluationPossibility to share and gain knowledge on regular tech talksFriendly and professional teamInnovative projects with advanced technologiesRemote workAccounting service",віддалено,"Python, SQL, PostgreSQL, Vue.js, Git, AWS, Heroku, Requests",3-5
Full Stack (Python + TypeScript) Developer focusing on the backend,https://jobs.dou.ua/companies/digis/vacancies/273948/,Digis,"Digis is looking for a talented and goal-oriented Full Stack (Python + TypeScript) Developer focusing on the backend.Duration: A long-term, full-time job with a flexible schedule. About the project: An AI-based SaaS platform automating the strategic planning process. D&M solutions model the future to build critical paths for companies to make better decisions faster. By combining advanced data modeling with the latest AI capabilities, D&M helps companies make their next best move.Project Country: France (CET), work in the Ukrainian time zone.Methodology: ScrumTeam: More than 10 specialists, including product managers, NLP engineers, data scientists, etc. Project advantages:It’s an interesting product with non-trivial challenges that raised over 6 million last month, meaning they have a long-term roadmap and plans in place.Join a team that already has 18 nationalities and continues to grow.All processes and procedures for development are in place.Requirements:3+ years of commercial experience.2+ years of commercial experience with Python.At least 1 year of commercial experience with TypeScript.Upper Intermediate English level (sufficient for a technical interview in English). If you fit the requirements above, please apply and contact me for more details. I look forward to your application!",віддалено,Python,3-5
Middle Python Engineer,https://jobs.dou.ua/companies/agileengine/vacancies/273947/,AgileEngine,"What you will do● Develop and Maintain Applications:● Enhance our project that focuses on a rule-based system for sending targeted emails to clients;● Work on a web application to streamline conversion opportunities for sales representatives;● Manage and develop APIs for optimizing job postings;● Contribute to a project for sending and tracking various types of communications;● Collaborate and Integrate:● Integrate various databases (e.g., MySQL, MongoDB) and APIs with our projects;● Collaborate with cross-functional teams to define, design, and ship new features;● Code Quality and Testing:● Write clean, maintainable, and efficient code;● Ensure the robustness and reliability of the applications through comprehensive testing and quality assurance processes;● Continuous Improvement:● Stay updated with the latest industry trends and technologies;● Participate in code reviews, provide constructive feedback, and help the team continuously improve.Must Haves● 2+ in software development using Python, with experience in web frameworks like Flask;● Databases: Familiarity with SQLAlchemy, PyMySQL, and MongoDB;● APIs: Experience in building and consuming RESTful APIs;● Tools: Familiar with GitLab CI/CD, Docker, Kubernetes, and other deployment tools;● Upper-intermediate English level.Nice To Haves● Frontend: Experience with React, TypeScript, and other frontend technologies;● Testing: Familiar with Pytest, Tox, and other testing frameworks;● Cloud: Experience with AWS services like S3, Lambda, and SageMaker.The benefits of joining us● Professional growth: Accelerate your professional journey with mentorship, TechTalks, and personalized growth roadmaps● Competitive compensation: We match your ever-growing skills, talent, and contributions with competitive USD-based compensation and budgets for education, fitness, and team activities● A selection of exciting projects: Join projects with modern solutions development and top-tier clients that include Fortune 500 enterprises and leading product brands● Flextime: Tailor your schedule for an optimal work-life balance, by having the options of working from home and going to the office — whatever makes you the happiest and most productive.","Київ, Львів, віддалено","Python, SQL, Flask, MySQL, MongoDB, React, Git, GitLab, Docker, Kubernetes, AWS, pytest, tox",3-5
Middle Python Software Engineer (Prom.ua),https://jobs.dou.ua/companies/evo/vacancies/273887/,EVO,"Prom.ua — найбільший маркетплейс України, де продаються понад 100 млн товарів від десятків тисяч підприємців з усієї країни.На Prom.ua:кожен покупець може знайти все, що потрібно, за найкращою ціною: від зубної щітки до культиватора для саду та городу.кожен підприємець може продавати товари в каталозі маркетплейса, на сайті, створеному на платформі Прома та у мобільному додатку «Prom покупки».Prom.ua в цифрах:щодня маркетплейс відвідують 4,8 млн осібна маркетплейсі працюють понад 60 тис. компанійу каталозі 102,5 млн товарівПро команду:2 Python FullStack, 2 FrontEnd Dev, Team Lead, 2 Automation QA, 1 Manual QA, Data Analyst, Product Designer, Product ManagerОсновні напрямки команди:розробка нового та підтримка поточного функціоналу кошикаінтеграція та підтримка доставок та оплатзамовлення і все, що з ним пов’язано кабінет покупця (замовлення, гаманець)акції та промокоди на порталібани, антіфрод формТехнічний стек проєкту:Моноліт на Python 3.12, PostgreSQL, ElasticSearch Мікросервіси на різних версіях Python, є трохи TS, поступово відмовляємось Взаємодія між сервісами за допомогою Kafka, gRPC Взаємодія з фронтендом за допомогою REST, GraphQLІ ще трохи деталей:Портал prom.ua працює в Kubernetes як сукупність незалежних сервісів. Налагодженні системи логування (kibana), моніторингу (prometheus/grafana), CI/CD (gitlab).Більша частина сервісів написана на Python 3.12 (синхронний та асинхронний)Інша частина на NodeJS.Міжсервісна комунікація налагоджена через gRPC, REST, Kafka.У якості бази даних використовується PostgreSQLДля зберігання великих об’ємів даних — ClickHouse. Також MongoDB в основному для файлів (gridfs).Client side написано на JavaScript. З використанням ReactJS та інших відомих бібліотек.Наш підхід до процесу розробки:Технічний борг в нашому проєкті один з пріоритетів на який завжди виділяється час.Команда працює за гнучкою методологією, не боїмося підлаштовувати процеси під себеУ кожного розробника є глибоке розуміння всієї системи та інфраструктури, розробка це не тільки про код, але і про особисте зростання та культуруМи цінуємо work-life balanceНемає великої кількості мітингівЩо важливо для ролі?  Розуміння принципів роботи з високонавантаженими системами (100+ rps) Вміння писати та оптимізувати складні SQL запити  Вміння та бажання покривати код тестами  Не боятися розбиратися з чимось новим (існуючий код, мікросервіси, сховища, зовнішні API)Основні задачі Розробка нового і підтримка існуючого функціонала Великі технічні задачі зараз: відокремлення функціоналу команди в окремий мікросервіс покращення інформативності метрик функціоналу командиЯк у нас проходить підбір на дану позицію?Знайомство (тривалість 30 хв)Технічне інтерв’ю (тривалість 1,5 години). Обговоримо всі важливі питання по стеку, досвіду, завданням.Фінальне інтерв’ю за необхідністю (тривалість 30 хвилин)","Київ, віддалено","Python, SQL, JavaScript, PostgreSQL, MongoDB, Elasticsearch, React, GraphQL, gRPC, Git, GitLab, Kubernetes, Prometheus, Grafana, Kibana",3-5
Senior Full-stack Developer (Python/Vue.js),https://jobs.dou.ua/companies/beetroot/vacancies/273858/,Beetroot,"Would you like to use your programming skills to save lives? Read on to know how!Our client is a genomics company with a focus on interpreting genetic diseases. Their product is a next generation, genomics intelligence platform that incorporates the most advanced artificial intelligence technologies to streamline the interpretation and evidence presentation process. By using this tool, healthcare providers can offer individualized care to more patients.As a Senior Full-Stack Developer you will work in a team that is responsible for backend and frontend software development, be responsible for developing modules and services to meet business goals. You will deal and manage activities spanning across the entire development lifecycle, including designing new architectures, hands-on development, code reviews and deployment. You will work closely with other teams in Israel & Ukraine, including product and data pipeline teams. In our collaboration model, you will work and communicate directly with the development team on the client side.What you’ll do in this role  Design and develop features, services and complex software modules Create new features, maintain and improve our SaaS web application Review software requirements, designs and code changes to ensure alignment with user needs and design inputs. Collaborate with product owners, developers and test engineers to design, implement, and maintain full-stack applications and services in scrum teams.Manage tasks and activities within the team to ensure project goals are met.We’re looking forExtensive experience software engineering and considerable experience using Python Experience with Full Stack projects, involving Python backend and using at least one of the following frameworks: Vue or Angular. Relational database design, like MySQL. Experience developing cloud microservices Extensive experience of unit testing against mocked objects BA/BSc in computer science or equivalent engineering degreeAbility to manage tasks within the team effectively.Excellent English communication skills, at least upper-intermediate level. How to knock our socks offUnderstanding of the medical field or medical/bio backgroundNaming five or more dishes that include beetroot, besides borsch.✔ Not checking every box?This job looks very exciting, but you hesitate to apply because of the confidence gap? Reach out to us anyway! Beetroot is an inclusive workplace that considers all applicants. Equality is one of our core values. We’re committed to providing equal opportunity and a sense of belonging for all Beetroot consultants and candidates. So let’s discover together whether we could be an excellent fit for each other.","Київ, Львів, Одеса, Івано-Франківськ, Кременчук, Полтава","Python, SQL, MySQL, Angular, Mock",3-5
Backend developer / ML Engineer,https://jobs.dou.ua/companies/peoly/vacancies/222431/,peoly,"We are a Prague-headquartered software company building dedicated development teams, augmenting existing development teams, and providing end-to-end software engineering services.In peoly, we are looking for someone who wants to bring engineering best practices to the full machine learning lifecycle, from cloud infrastructure through data processing and modeling to deploying machine learning models. Someone with experience in machine learning or with the desire to learn about it. We provide the oportunity to work on all sorts of projects like video/image processing, audio processing, NLPs and more.We look for someone who:Is familiar with machine learning and its applications in industry.Has work experience within Linux environmentUnderstands data structures and algorithms at a level sufficient to write an optimized code when working with large datasets or large incoming data streamsHas experience with PythonHas at least Intermediate level of English.As a plus would be:Experience with cloud AI services or other ML platformsExperience with Docker, Dockore ComposeKnowledge of ML tools (TensorFlow, NumPy, Pandas, openCV,...)Knowledge of JSON, MySQL, PostgreSQL, scriptingBasic knowledge of ML, DL, AI, NN (RNN, LSTM, CNN)Experience with Azure, Docker/Kubernetes, and RESTful APIsWe offer:An exciting and challenging job and sharp team around;Interesting projects and search for solutions in the field of artificial intelligence, deep learning and data analysis;Remote work & Flexible working hoursCompetitive salaryIf you are interested in the job, please send your CV to my email: [email protected]",віддалено,"Python, SQL, PostgreSQL, MySQL, Docker, Kubernetes, Azure, NumPy, Pandas, TensorFlow, OpenCV",3-5
Middle Python Developer,https://jobs.dou.ua/companies/comparusua/vacancies/208689/,COMPARUS UA,"Наша співпраця передбачає ремоут, але тільки для кандидатів з м. Дніпро!Про проєкт: Ми — продуктова команда, що створює додаток, здатний вилучати та структурувати дані зі сканованих чи фотодокументів.Ми пропонуємо: повне технічне оснащення (MacBook, додатковий монітор, комфортне робоче місце) роботу тільки з передовими технологіями 8-годинний робочий день, без овертаймів компенсацію лікарняних, відпусток часткову компенсацію за спортзал часткову компенсацію сертифікацій і конференцій часткову компенсацію за заняття англійською/німецькоюЗадачі: Впровадження мікросервісів з нуля Впровадження алгоритмів обробки документів Конфігурація взаємодії мікросервісівНавички, необхідні для роботи з продуктом:Глибоке знання Python 3.9 та досвід роботи з ним 4+ рокиДосвід створення RESTful Web ServicesДосвід роботи з design service API (OpenAPI Swagger contracts)Досвід роботи з Docker, OpenShift/Kubernetes, JenkinsДосвід роботи з OCRРівень розмовної/письмової англійської мови Intermediate/B1+Ці навички стануть у нагоді:Коммерційний досвід і розуміння архітектури програмиДосвід роботи з ML/DLДосвід роботи з будь-якими інструментами та фреймворками з відкритим кодом для глибокого навчанняДосвід роботи з реляційними та іншими БД (OracleDB, Postgresql, Mongo, etc)Досвід обробки PDFОрганізаторські здібностіЕтапи спілкування за вакансією: 1. Діалог з Researcher у форматі переписки (обговорюються виключно найважливіші питання)2. Виконання тестового завдання3. Online call: 15 хв перевірка рівня English, 30 хв детальне обговорення вакансії з Recruiter4. Технічна співбесіда з Team Lead та потенційним Tech onboarding guide (60-90 хв)* етапи можуть змінюватись в ході спілкування, але завжди лише з метою можливої подальшої співпраціПрохання перед надсиланням CV уважно ознайомлюватись з деталями вакансії для збереження Вашого і нашого часу.Якщо інформація в CV співпадає з вимогами — Ви обовʼязково отримаєте фідбек.",Дніпро,"Python, SQL, PostgreSQL, Swagger, Jenkins, Docker, Kubernetes, OpenShift",3-5
Senior Backend Developer (Python),https://jobs.dou.ua/companies/volindo/vacancies/269559/,Volindo,"What is the purpose of this position?We are looking for a Python Developer (3+ years of commercial experience), who will join a project related to the travel domain. Vacancy requires relocation to UAE. Requirements:— Working experience with Python (at least 3 years).— High level of proficiency with AWS.— Good working skills with CI/CD.— Hands-on experience with AI technologies, or an excellent understanding of it.— Upper Intermediate+ English level. Will be a plus:— Experience with C++, and Java. UAE Company — Ukraine Team. Join us! If this sounds like the perfect match for you, don’t hesitate!Jump right in and submit your application. Get ready to rock this opportunity!",за кордоном,"Python, AWS",3-5
Full-Stack Engineer (Poland),https://jobs.dou.ua/companies/talent-first/vacancies/273642/,Talent First,"The companyOur client, CybeReady, is a well-funded and self-sufficient Israeli startup. CybeReady offers a cutting-edge Security Awareness Training Platform that combines sophisticated phishing simulations, user-tailored training and AI models to ensure corporate cybersecurity resilience in the world’s most vulnerable cyber attack surface — the employees themselves.The positionWe are looking for a full-stack developer, mostly backend oriented but well familiar with front end, web applications, complex databases and cloud technologies. ResponsibilitiesJoin a small R&D team as mostly a back-end and occasionally a front-end developer.Be independent and creative, propose and promote your own ideas, and make an impact on the company’s present and future.Work closely with other stakeholders in the company to resolve issues, design and deliver features, improve and evolve our products line.Take an active part in research and constantly learn the latest technologies, practices and industry trends in an agile and innovation-centred environment.Work remotely from your home, and take responsibility for your work-life balance.RequirementsPython 3 — deep knowledge and at least 4 years of experience.Django web framework — deep knowledge and at least 4 years of experience.Relational databases — proficient and experienced in SQL.ORM — experience and familiarity with ORM frameworks, Django ORM is an advantage.Front-end development — at least one year of experience developing modern front-end applications: JavaScript (TypeScript is an advantage), HTML5, CSS (SASS/LESS), and their respective tools — npm/yarn/bower, webpack/gulp/babel etc.Front-end framework — at least one year of experience with major front-end frameworks. Angular is a big advantage. Testing — experience and good familiarity with unit, integration and E2E testing.Experience with AWS cloud is an advantage.Experience with Docker and serverless architectures is a big advantage.Excellent spoken and written English, experience working in international company is an advantage.QualitiesIndependent and self-organized, responsible and trustworthy.Team player with great communication and people skills.A great learner with a passion for the constant expansion of technical knowledge.Critical thinker, problem solver, ability to take big problems and break them into smaller logical parts.","Poland, віддалено","Python, SQL, JavaScript, HTML, CSS, Django, Angular, Docker, AWS",3-5
Middle/Senior Python Developer [Computer Vision],https://jobs.dou.ua/companies/walkout-technologies/vacancies/273634/,Walkout Technologies,"Smoothr smoothr.de is a market leading start-up for automating ordering experiences with software and AI.Based in Germany we are bringing AI into hospitality and so far have released different award winning computer-vision applications to the European market. We are looking for engineers who want to bring their experience into our computer-vision projects. What You’ll Be Doing:You will help expand our computer vision applications. We have a range of computer vision projects, where we help make the checkout process easier for customers around Europe.Requirements:Strong Python programming skillsIntermediate level of EnglishTo have experience in SOME of the topics would be a PLUS:Knowledge of deep learning frameworks (PyTorch preferred)Experience in at least one domain: video real-time object detection/segmentation, action classification, tracking, pose estimation, 3D geometryWeb development experience a plus (Docker, Node.js, Socket.IO)Linux, bash, gitAchievements in science competitions","Київ, віддалено","Python, Git, Docker, PyTorch",3-5
Python Developer,https://jobs.dou.ua/companies/concryt/vacancies/273551/,CONCRYT,"We are seeking a skilled Middle Python Developer to join our FinTech team. The successful candidate will be responsible for maintaining and upgrading existing services and developing new integrations with other financial providers. This role requires a strong background in backend technologies.RESPONSIBILITIES:Develop and maintain robust code for various financial services using Python;Integrate and maintain databases using PostgreSQL;Implement and maintain message brokers and event streaming services using Kafka;Manage caching mechanisms using Redis;Containerize services using Docker to enhance deployment processes and scalability;Develop microservices with gRPC and RESTful APIs to ensure seamless communication between services;Build and maintain APIs using FastAPI and Django frameworks;Work collaboratively with cross-functional teams to design and implement new features;Write comprehensive unit tests and integration tests;Continuously optimize the application for maximum speed and scalability.REQUIREMENTS:At least 3 years of professional experience in Python development;Experience with PostgreSQL or similar relational databases;Basic knowledge of Kafka and an understanding of distributed systems;Proficiency in Redis for caching solutions;Solid understanding of Docker and container orchestration tools;Experience with gRPC and RESTful API development;Practical experience with FastAPI and Django frameworks;Excellent problem-solving skills and ability to work in a fast-paced environment;Strong communication skills and ability to work as part of a team;Experience in external API integrations; experience with payment solutions is a significant plus.WHAT WE OFFER:A chance to grow in the fintech industry;The best team to work with;Paid time off, sick leaves;Public holidays according to the HQ location;Healthcare benefits/medical insurance and other benefits after the probationary period.","Барселона (Іспанія), віддалено","Python, SQL, Django, FastAPI, PostgreSQL, Redis, gRPC, Docker",3-5
Middle Strong Python Developer with AI experience,https://jobs.dou.ua/companies/geniusee/vacancies/270524/,Geniusee,"Our mission at Geniusee is to help businesses thrive through tech partnership and strengthen the engineering community by sharing knowledge and creating opportunities🌿Our values are Continuous Growth, Team Synergy, Taking Responsibility, Conscious Openness and Result Driven. We offer a safe, inclusive and productive environment for all team members, and we’re always open to feedback 💜 If you want to work from home or work in the offices in Kyiv or Lviv with stable electricity and Wi-Fi , great — apply right now.About the project:The comprehensive platform for clinical evidence review delivers quality, and speed to market, and supports compliance from concept to commercialization.What do you need: ● 3,5+ years of experience with Python;● Solid understanding of NLP techniques and frameworks;● Experience building data processing pipelines using tools such as Apache Airflow;● Experience with SQL and NoSQL databases;● Experience with Azure;● Experience in vector storage a plus;● English: Upper-intermediate.Nice to have: ● Proven expertise in RAG models and familiarity with LangChain, LlamaIndex or Haystack.What will you get: ● Competitive salary and good compensation package;● Exciting, challenging and stable startup projects with a modern stack;● Corporate English course;● Ability to practice English and communication skills through permanent interaction with clients from all over the world;● Professional study compensation, online courses and certifications;● Career development opportunity, semi-annual and annual salary review process;● Necessary equipment to perform work tasks;● VIP medical insurance or sports coverage;● Informal and friendly atmosphere;● The ability to focus on your work: a lack of bureaucracy and micromanagement;● Flexible working hours (start your day between 8:00 and 11:30);● Team buildings, corporate events;● Paid vacation (18 working days) and sick leaves;● Cozy offices in 2 cities ( Kyiv & Lviv ) with electricity and Wi-Fi ( Generator & Starlink )● Compensation for coworking (except for employees from Kyiv and Lviv)● Corporate lunch + soft skills clubs● Unlimited work from home from anywhere in the world (remote);● Geniusee has its own charity fund.","Київ, віддалено","Python, SQL, Azure",3-5
Python Developer,https://jobs.dou.ua/companies/diversido/vacancies/273464/,Diversido,"We are seeking a Python developer responsible for writing clean, efficient code, analyzing requirements, collaborating with designers and clients, providing customer support, and delivering on-time results.Responsibilities:Write clean, maintainable and efficient codeAnalyze requirements documentation and design specificationsWork closely with designers and clients to manage expectations and deliver the best possible resultsProvide customer support and resolve problems from the real-life production environmentDeliver results on time and manage expectationsRequired Skills:4+ years Experience in Backend developmentMinimum 2 years of development experience in Python itselfGood communication skills and at least an Upper-Intermediate level of EnglishHighly motivated, self-driven, independentStrong understanding of HTTP, REST API, PostgreSQLExperience with any cloud providerWeb security aspectsExperience with CI/CD and building pipelinesUnderstanding of networking: TCP/IP stack basicsKnowledge of OOP, design patterns, and refactoringNice to Haves:Experience with TypeScript or ES6, NodeJS, and asynchronous codeDjangoDockerOpenEDX or other LMS platformsExperience with frontend frameworks (React, Vue, etc.)What we Offer:Interesting projects with US and European customers in the Healthcare industrySupportive and spirited team of professionalsTeam building, games, and other eventsFlexible working scheduleIT and Business English coursesEducation subsidy and access to a huge amount of company education resourcesPersonal review once every 7-8 months, where we honestly and meaningfully discuss your career and financial prospectsSystematic personal meetings 1:1 with a mentor and HRPaid vacation and sick leaves‍If you share our values and fit the position, don’t hesitate and send your CV! We are waiting for you!",віддалено,"Python, SQL, Django, PostgreSQL, React, REST API, Docker",3-5
